MFile 1 4 120
MTrk
0 TimeSig 4/4 24 8
0 Tempo 500000
0 Meta TrkEnd
TrkEnd
MTrk
9540 On ch=1 n=79 v=80
9564 On ch=1 n=79 v=0
9576 On ch=1 n=82 v=80
9600 On ch=1 n=82 v=0
9612 On ch=1 n=85 v=80
9636 On ch=1 n=85 v=0
9647 On ch=1 n=89 v=80
9647 On ch=1 n=79 v=80
9672 On ch=1 n=89 v=0
9672 On ch=1 n=79 v=0
9684 On ch=1 n=87 v=80
9732 On ch=1 n=87 v=0
9756 On ch=1 n=85 v=80
9780 On ch=1 n=85 v=0
9792 On ch=1 n=75 v=80
9816 On ch=1 n=75 v=0
9827 On ch=1 n=79 v=80
9852 On ch=1 n=79 v=0
9864 On ch=1 n=82 v=80
9888 On ch=1 n=82 v=0
9900 On ch=1 n=75 v=80
9900 On ch=1 n=79 v=80
9900 On ch=1 n=87 v=80
9948 On ch=1 n=75 v=0
9948 On ch=1 n=79 v=0
9948 On ch=1 n=87 v=0
9972 On ch=1 n=67 v=80
9972 On ch=1 n=73 v=80
9972 On ch=1 n=79 v=80
9996 On ch=1 n=67 v=0
9996 On ch=1 n=73 v=0
9996 On ch=1 n=79 v=0
10007 On ch=1 n=68 v=80
10007 On ch=1 n=73 v=80
10007 On ch=1 n=80 v=80
10032 On ch=1 n=68 v=0
10032 On ch=1 n=73 v=0
10032 On ch=1 n=80 v=0
10044 On ch=1 n=70 v=80
10044 On ch=1 n=73 v=80
10044 On ch=1 n=82 v=80
10068 On ch=1 n=70 v=0
10068 On ch=1 n=73 v=0
10068 On ch=1 n=82 v=0
10080 On ch=1 n=71 v=80
10080 On ch=1 n=74 v=80
10080 On ch=1 n=83 v=80
10104 On ch=1 n=71 v=0
10104 On ch=1 n=74 v=0
10104 On ch=1 n=83 v=0
10116 On ch=1 n=72 v=80
10116 On ch=1 n=75 v=80
10116 On ch=1 n=84 v=80
10164 On ch=1 n=72 v=0
10164 On ch=1 n=75 v=0
10164 On ch=1 n=84 v=0
10187 On ch=1 n=71 v=80
10187 On ch=1 n=74 v=80
10187 On ch=1 n=83 v=80
10212 On ch=1 n=71 v=0
10212 On ch=1 n=74 v=0
10212 On ch=1 n=83 v=0
10224 On ch=1 n=72 v=80
10224 On ch=1 n=75 v=80
10224 On ch=1 n=84 v=80
10272 On ch=1 n=72 v=0
10272 On ch=1 n=75 v=0
10272 On ch=1 n=84 v=0
10296 On ch=1 n=71 v=80
10296 On ch=1 n=74 v=80
10296 On ch=1 n=83 v=80
10320 On ch=1 n=71 v=0
10320 On ch=1 n=74 v=0
10320 On ch=1 n=83 v=0
10332 On ch=1 n=72 v=80
10332 On ch=1 n=75 v=80
10332 On ch=1 n=84 v=80
10512 On ch=1 n=72 v=0
10512 On ch=1 n=75 v=0
10512 On ch=1 n=84 v=0
10584 On ch=1 n=72 v=80
10584 On ch=1 n=75 v=80
10632 On ch=1 n=72 v=0
10632 On ch=1 n=75 v=0
10656 On ch=1 n=73 v=80
10656 On ch=1 n=76 v=80
10680 On ch=1 n=73 v=0
10680 On ch=1 n=76 v=0
10692 On ch=1 n=73 v=80
10692 On ch=1 n=77 v=80
10740 On ch=1 n=73 v=0
10740 On ch=1 n=77 v=0
10764 On ch=1 n=73 v=80
10764 On ch=1 n=70 v=80
10896 On ch=1 n=73 v=0
10896 On ch=1 n=70 v=0
10944 On ch=1 n=73 v=80
10944 On ch=1 n=76 v=80
10968 On ch=1 n=73 v=0
10968 On ch=1 n=76 v=0
10980 On ch=1 n=73 v=80
10980 On ch=1 n=77 v=80
11028 On ch=1 n=73 v=0
11028 On ch=1 n=77 v=0
11052 On ch=1 n=73 v=80
11052 On ch=1 n=70 v=80
11183 On ch=1 n=73 v=0
11183 On ch=1 n=70 v=0
11232 On ch=1 n=72 v=80
11232 On ch=1 n=76 v=80
11256 On ch=1 n=72 v=0
11256 On ch=1 n=76 v=0
11267 On ch=1 n=72 v=80
11267 On ch=1 n=77 v=80
11316 On ch=1 n=72 v=0
11316 On ch=1 n=77 v=0
